,fecha,prec,tmin,tmed,tmax,velmedia,racha,Mojado,Seco
0,01/01/2019,0.0,1.4,6.6,11.7,0.3,5.3,0,1
1,02/01/2019,0.0,0.4,6.0,11.7,0.6,7.8,0,1
2,03/01/2019,0.0,2.8,7.3,11.8,0.6,7.8,0,1
3,04/01/2019,0.0,0.4,5.9,11.4,0.3,3.6,0,1
4,05/01/2019,0.0,-0.1,5.4,10.8,0.6,3.1,0,1
5,06/01/2019,0.0,-0.5,6.6,13.8,1.1,3.3,0,1
6,07/01/2019,0.0,0.5,7.1,13.7,0.6,5.0,0,1
7,08/01/2019,0.0,1.2,7.1,13.0,0.8,3.6,0,1
8,09/01/2019,0.0,2.0,7.6,13.2,1.4,9.7,0,1
9,10/01/2019,0.0,0.6,4.7,8.8,2.8,10.0,0,1
10,11/01/2019,0.0,-1.8,2.8,7.4,0.6,6.1,0,1
11,12/01/2019,0.0,-0.8,4.4,9.5,0.8,4.2,0,1
12,13/01/2019,0.0,-0.7,5.0,10.8,0.8,3.6,0,1
13,14/01/2019,0.0,1.0,6.8,12.6,0.6,3.9,0,1
14,15/01/2019,0.0,3.1,7.6,12.2,1.4,9.147068676716918,0,1
15,16/01/2019,0.0,1.4,5.7,10.0,1.1,6.4,0,1
16,17/01/2019,0.0,2.7,5.6,8.5,0.3,4.7,0,1
17,18/01/2019,0.0,-0.3,3.6,7.6,1.1,6.1,0,1
18,19/01/2019,5.9,-0.5,2.0,4.4,0.6,5.3,1,0
19,20/01/2019,0.0,3.3,6.4,9.5,2.2,11.7,0,1
20,21/01/2019,0.0,1.4,5.4,9.4,3.6,10.6,0,1
21,22/01/2019,0.4,0.7,4.4,8.0,1.9,11.1,1,0
22,23/01/2019,0.0,5.2,9.2,13.1,4.4,17.5,0,1
23,24/01/2019,0.0,8.7,11.6,14.6,2.2,12.2,0,1
24,25/01/2019,0.0,5.2,10.2,15.2,3.3,10.0,0,1
25,26/01/2019,0.0,2.2,7.4,12.6,1.1,5.0,0,1
26,27/01/2019,0.0,2.4,6.9,11.4,2.2,14.7,0,1
27,28/01/2019,0.0,3.7,8.4,13.0,3.9,15.3,0,1
28,29/01/2019,0.0,5.3,7.9,10.5,2.8,14.7,0,1
29,30/01/2019,4.1,4.2,7.2,10.1,3.3,10.8,1,0
30,31/01/2019,8.2,6.4,9.4,12.4,5.3,17.2,1,0
31,01/02/2019,1.0,3.5,6.4,9.4,3.9,16.1,1,0
32,02/02/2019,0.0,1.6,4.6,7.5,3.9,14.2,0,1
33,03/02/2019,0.0,-0.3,4.0,8.2,1.4,12.2,0,1
34,04/02/2019,0.0,-1.4,4.8,10.9,0.8,3.6,0,1
35,05/02/2019,0.0,1.7,8.1,14.5,0.8,5.0,0,1
36,06/02/2019,0.0,4.4,9.7,15.0,1.7,6.1,0,1
37,07/02/2019,0.0,3.0,9.0,15.0,0.8,4.4,0,1
38,08/02/2019,0.0,2.8,8.6,14.3,1.1,7.8,0,1
39,09/02/2019,0.0,2.9,7.4,11.8,1.1,6.1,0,1
40,10/02/2019,0.0,4.1,7.6,11.2,2.5,10.8,0,1
41,11/02/2019,0.0,5.7,9.4,13.0,1.7,8.6,0,1
42,12/02/2019,0.0,3.0,8.0,13.0,0.8,8.3,0,1
43,13/02/2019,0.0,4.4,9.4,14.5,0.8,4.7,0,1
44,14/02/2019,0.0,3.0,8.0,13.1,0.8,5.0,0,1
45,15/02/2019,0.0,3.4,9.0,14.6,0.8,4.4,0,1
46,16/02/2019,0.0,5.9,11.0,16.2,2.8,8.1,0,1
47,17/02/2019,0.0,4.0,9.5,15.0,1.7,6.7,0,1
48,18/02/2019,0.0,4.5,9.4,14.3,1.1,5.0,0,1
49,19/02/2019,0.0,5.4,9.7,14.0,0.8,4.4,0,1
50,20/02/2019,0.0,4.3,9.4,14.5,0.6,5.3,0,1
51,21/02/2019,0.0,5.2,10.7,16.2,0.8,5.0,0,1
52,22/02/2019,0.0,5.0,11.6,18.1,0.8,6.1,0,1
53,23/02/2019,0.0,3.7,10.9,18.1,0.6,5.6,0,1
54,24/02/2019,0.0,8.1,13.4,18.7,0.8,6.1,0,1
55,25/02/2019,0.0,6.4,12.4,18.5,0.8,4.2,0,1
56,26/02/2019,0.0,7.1,13.4,19.8,1.7,6.9,0,1
57,27/02/2019,0.0,7.0,13.4,19.8,1.4,5.3,0,1
58,28/02/2019,0.0,6.2,12.4,18.6,0.8,5.0,0,1
59,01/03/2019,0.0,6.8,13.2,19.5,1.7,7.2,0,1
60,02/03/2019,0.0,8.0,13.8,19.7,1.9,5.8,0,1
61,03/03/2019,0.0,6.1,13.2,20.2,1.9,10.3,0,1
62,04/03/2019,0.0,8.5,12.0,15.5,3.6,11.1,0,1
63,05/03/2019,0.0,8.7,12.0,15.2,3.3,11.7,0,1
64,06/03/2019,8.2,5.7,9.6,13.4,4.2,17.8,1,0
65,07/03/2019,0.0,3.2,7.6,12.1,2.5,9.4,0,1
66,08/03/2019,0.0,5.3,10.1,14.9,0.8,5.3,0,1
67,09/03/2019,0.0,5.0,11.5,18.0,0.6,4.7,0,1
68,10/03/2019,0.0,7.3,15.0,22.6,1.7,7.8,0,1
69,11/03/2019,0.0,10.0,14.6,19.3,2.2,8.6,0,1
70,12/03/2019,0.0,7.1,14.2,21.2,2.8,10.0,0,1
71,13/03/2019,0.0,7.5,11.0,14.5,3.3,11.1,0,1
72,14/03/2019,0.0,4.1,10.6,17.1,1.1,6.7,0,1
73,15/03/2019,0.0,6.0,14.4,22.8,1.1,5.3,0,1
74,16/03/2019,0.0,8.4,16.2,23.9,1.9,7.8,0,1
75,17/03/2019,0.0,7.8,13.8,19.7,2.5,12.5,0,1
76,18/03/2019,0.0,3.8,9.9,16.0,2.5,11.4,0,1
77,19/03/2019,0.0,6.3,11.2,16.0,2.8,10.8,0,1
78,20/03/2019,0.0,5.1,9.9,14.7,2.5,12.2,0,1
79,21/03/2019,0.0,4.8,9.9,15.0,0.6,6.9,0,1
80,22/03/2019,0.0,4.5,11.2,18.0,1.4,7.2,0,1
81,23/03/2019,0.0,7.6,14.1,20.6,2.5,7.8,0,1
82,24/03/2019,0.0,9.0,15.2,21.5,2.2,8.3,0,1
83,25/03/2019,0.0,10.0,16.4,22.7,2.5,13.3,0,1
84,26/03/2019,0.0,6.0,13.5,21.0,4.4,14.7,0,1
85,27/03/2019,0.0,5.5,12.0,18.5,0.6,8.9,0,1
86,28/03/2019,0.0,6.1,12.4,18.6,1.4,5.8,0,1
87,29/03/2019,0.0,6.6,12.4,18.2,2.8,8.9,0,1
